CPU Energy,CPU Model,Device ID,Duration (s),Energy (kWh),GPU Energy,GPU Model,Log Level,Measure Power Secs,Measurement Type,OS,RAM,RAM Energy,Run ID,Run Number,Script,Total Energy Consumed,Tracking Mode
3.522231413258447e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.984050035476685,3.642454004538188e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.2022259127974168e-06,035476a15aef8a6b4c9c281083490c16167a3d3b57ccf4acc405229f156f198b,3,naive_bayes_digits.py,3.642454004538188e-05,machine
4.020357943243451e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.4059698581695557,4.157595932925789e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.37237989682338e-06,0219b616a539e7e91f251a512c16ed3038f964c353ff63b6db021fa6af2de569,1,neural_network_wine.py,4.157595932925789e-05,machine
4.044861843188604e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.4267630577087402,4.182934185027155e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3807234183855146e-06,0219b616a539e7e91f251a512c16ed3038f964c353ff63b6db021fa6af2de569,2,neural_network_wine.py,4.182934185027155e-05,machine
4.023400031858021e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.408586263656616,4.160738061505994e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.373380296479733e-06,0219b616a539e7e91f251a512c16ed3038f964c353ff63b6db021fa6af2de569,3,neural_network_wine.py,4.160738061505994e-05,machine
3.260167075528039e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7620668411254883,3.3713849354862315e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1121785995819285e-06,e2ee63e9e7010274be1a15b48a32195fc32e81fdb95de239f04c0915d373745f,1,pca_breast_cancer.py,3.3713849354862315e-05,machine
3.259637355804444e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7616195678710938,3.370884037578606e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.11246681774162e-06,e2ee63e9e7010274be1a15b48a32195fc32e81fdb95de239f04c0915d373745f,2,pca_breast_cancer.py,3.370884037578606e-05,machine
3.2517985171741915e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.754941463470459,3.362786696676974e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1098817950278317e-06,e2ee63e9e7010274be1a15b48a32195fc32e81fdb95de239f04c0915d373745f,3,pca_breast_cancer.py,3.362786696676974e-05,machine
5.0253938800758786e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.257303237915038,5.196958094983933e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.715642149080547e-06,22df022503bb3a8675ce24e0cc0263affa3a63a656097aa4667e4c1fd9703682,1,random_forest_digits.py,5.196958094983933e-05,machine
5.02657519446479e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.258294582366943,5.198170999928974e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.7159580546418359e-06,22df022503bb3a8675ce24e0cc0263affa3a63a656097aa4667e4c1fd9703682,2,random_forest_digits.py,5.198170999928974e-05,machine
5.0266410575972664e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.2584874629974365,5.198243977185472e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.7160291958820532e-06,22df022503bb3a8675ce24e0cc0263affa3a63a656097aa4667e4c1fd9703682,3,random_forest_digits.py,5.198243977185472e-05,machine
3.153570973210865e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.671748638153076,3.2611202909120356e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0754931770117082e-06,15aa8efc9c432183d130978002a16711cb5dd9f3db713087f97451b2ffd8f84b,1,support_vector_iris.py,3.2611202909120356e-05,machine
3.144190543227725e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.663804054260254,3.2515037585345056e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0731321530677936e-06,15aa8efc9c432183d130978002a16711cb5dd9f3db713087f97451b2ffd8f84b,2,support_vector_iris.py,3.2515037585345056e-05,machine
3.140382303131951e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.6605854034423833,3.2475617344523974e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.071794313204464e-06,15aa8efc9c432183d130978002a16711cb5dd9f3db713087f97451b2ffd8f84b,3,support_vector_iris.py,3.2475617344523974e-05,machine
3.877736396259732e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.284827709197998,4.010123255157971e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3238685889823879e-06,60487302524db2c0829dc0c711972a61e1f697b49fe67c364e39f53df49c4b3d,1,ada_boost_iris.py,4.010123255157971e-05,machine
3.895554906792111e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.299924373626709,4.0285476391012926e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3299273230918136e-06,60487302524db2c0829dc0c711972a61e1f697b49fe67c364e39f53df49c4b3d,2,ada_boost_iris.py,4.0285476391012926e-05,machine
3.885303619835112e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.2912485599517822,4.01794655835709e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3264293852197778e-06,60487302524db2c0829dc0c711972a61e1f697b49fe67c364e39f53df49c4b3d,3,ada_boost_iris.py,4.01794655835709e-05,machine
3.2479790184232925e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7514019012451167,3.358529467797755e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1055044937446232e-06,6985a63aa995f0099dbac1ecc6bd29bbb0c2b5d6010446d836734c40789c6ad4,1,decision_tree_wine.py,3.358529467797755e-05,machine
3.2340661353535133e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7396080493927,3.344465486501962e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1039935114844944e-06,6985a63aa995f0099dbac1ecc6bd29bbb0c2b5d6010446d836734c40789c6ad4,2,decision_tree_wine.py,3.344465486501962e-05,machine
3.240203228261736e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7448060512542725,3.350813542028473e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1061031376673706e-06,6985a63aa995f0099dbac1ecc6bd29bbb0c2b5d6010446d836734c40789c6ad4,3,decision_tree_wine.py,3.350813542028473e-05,machine
3.370947175555759e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.85554838180542,3.486022294331172e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1507511877541297e-06,3cc4d0b30ed4ec1183f1ab98ad1255346457b835faa53401b6961ba10a3a0896,1,k_means_clustering_iris.py,3.486022294331172e-05,machine
3.3933533065848877e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.8747878074645996,3.509141145223105e-05,0,,warning,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1578783863821706e-06,3cc4d0b30ed4ec1183f1ab98ad1255346457b835faa53401b6961ba10a3a0896,2,k_means_clustering_iris.py,3.509141145223105e-05,machine
